"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"216","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,120,"d","0.24","0.36","Pilati (2014,brasilia)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #110",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"yes",216,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"217","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,84,"d","0.46","0.44","Vranka (2014,Charles)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #111",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"no",217,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"218","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,95,"d","0.41","0.42","Nier (2014,Conncoll)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #112",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"no",218,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"219","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,96,"d","0.53","0.42","Rutchick (2014,CSUN)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #113",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"no",219,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"220","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,102,"d","-0.06","0.39","Cheong (2014,Help)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #114",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"yes",220,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"221","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,90,"d","0.23","0.42","Vaughn (2014,Ithaca)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #115",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"no",221,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"222","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,174,"d","0.57","0.3","Kurtz (2014,JMU)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #116",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"yes",222,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"223","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,113,"d","0.49","0.38","Cemalcilar (2014,KU)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #117",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"yes",223,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"224","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,112,"d","0.45","0.38","Packard (2014,Laurier)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #118",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"yes",224,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"225","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,276,"d","0.41","0.24","Kappes (2014,LSE)","signal - consistent","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #119",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"yes",225,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"226","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,146,"d","0.27","0.33","Huntsinger & Mallett (2014,Luc)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #120",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"yes",226,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"227","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,97,"d","0.15","0.4","Morris (2014,McDaniel)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #121",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"no",227,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"228","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,85,"d","0.33","0.44","Furrow & Thompson (2014,MSVU)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #122",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"no",228,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"229","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,999,"d","0.31","0.12","Schmidt & Nosek (2014, MTURK)","signal - consistent","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #123",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"yes",229,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"230","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,107,"d","0.45","0.39","Smith (2014,OSU)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #124",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"yes",230,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"231","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,122,"d","0.68","0.37","Levitan (2014,Oxy)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #125",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"yes",231,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"232","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,1323,"d","0.18","0.1","Schmidt & Nosek (2014,PI)","signal - consistent","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #126",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"yes",232,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"233","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,95,"d","0.15","0.41","Adams & Nelson (2014,PSU)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #127",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"no",233,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"234","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,102,"d","-0.08","0.39","Brumbaugh & Storbeck (2014,QCCUNY) Study 1","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #128",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"yes",234,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"235","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,86,"d","0.14","0.43","Brumbaugh & Storbeck (2014,QCCUNY2) Study 2","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #129",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"no",235,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"236","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,162,"d","0.28","0.32","Devos (2014,SDSU)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #130",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,"yes",236,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"237","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,79,"d","-0.07","0.45","Bocian & Frankowska (2014,SWPS) Study 1","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #131",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"no",237,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"238","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,168,"d","0.12","0.3","Bocian & Frankowska (2014,SWPSON) Study 2","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #132",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,"yes",238,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"239","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,187,"d","0.35","0.29","Davis & Hicks (2014,TAMU) Study 1","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #133",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"yes",239,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"240","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,87,"d","0.38","0.43","Hunt & Krueger (2014,TAMUC)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #134",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"no",240,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"241","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,225,"d","0.32","0.26","Davis & Hicks (2014,TAMUON) Study 2","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #135",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,"yes",241,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"242","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,80,"d","0.5","0.45","Brandt et al. (2014,Tilburg)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #136",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"no",242,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"243","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,127,"d","0.15","0.35","Klein et al. (2014,UFL)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #137",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,"yes",243,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"244","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,144,"d","0.46","0.33","Vianello & Galliani (2014,UNIPD)","signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #138",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,"yes",244,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
"245","sunk cost effect (paid vs. free football ticket)","Oppenheimer et al. (2009 ) Study 1",115,"d",0.23,0.25,81,"d","0.43","0.44","Schmidt & Nosek (2014,UVA)","no signal - consistent (imprecise)","sunk cost vs. control (paid vs. free football ticket)","likelihood of attending rainy football game","very close","ML1 #139",NA,NA,NA,NA,NA,"http://peoplescience.org/sites/default/files/OppenheimerMeyvisDavidenko.2009.pdf","10.1016/j.jesp.2009.03.009","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,"no",245,625,23.45,5.53673913043478,2.60555555555556,69.4444444444444,0.615193236714976,0.124034734589208,78.9760163813138,8.77511293125708,0.901458694609609,NA
